group,replicate,fastq_1,fastq_2,antibody,control
WT_L10_STAT3,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_STAT3_deep_S40_L008_R1_001.fastq.gz,,STAT3,WT_L10_CONTROL
WT_L10_STAT3,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_STAT3_deep_S1_L001_R1_001.fastq.gz,,STAT3,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-STAT5A-rep1.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_p-STAT5-A_S64_L007_R1_001.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_p-STAT5-A_S39_L005_R1_001.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_STAT5_S35_L006_R1_001.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/ChIP-seq-WT-L10-STAT5A-rep2.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_p-STAT5-B_S51_L006_R1_001.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_STAT5,,/nfs/data/Hennighausen/01_raw/chipseq/L10/WT_L10_STAT5_S78_L008_R1_001.fastq.gz,,STAT5,WT_L10_CONTROL
WT_L10_CONTROL,,/nfs/data/Hennighausen/01_raw/chipseq/controls/L10/WT_L10Input_06_29_2018_S22_L004_R1_001.fastq.gz,,,
